id,ChEBI,CID
s_0805[e],CHEBI:15377,962
s_0806[g],CHEBI:15377,962
s_0807[m],CHEBI:15377,962
s_0808[n],CHEBI:15377,962
s_0809[p],CHEBI:15377,962
s_0810[v],CHEBI:15377,962
s_0811[m],CHEBI:24479,
s_0812[m],CHEBI:24480,15719509
s_0813[lp],CHEBI:53032,44224040
s_0814[lp],CHEBI:53036,44224044
s_0815[lp],CHEBI:53046,5280658
s_0816[c],CHEBI:52966,25246198
s_0817[er],CHEBI:52966,25246198
s_0819[p],CHEBI:52966,25246198
s_0823[p],,
s_0825[er],CHEBI:17600,984
s_0826[e],CHEBI:17600,984
s_0829[lp],CHEBI:53037,44224045
s_0830[lp],CHEBI:53047,5280413
s_0831[m],CHEBI:53047,5280413
s_0832[c],CHEBI:29155,
s_0833[m],CHEBI:29155,
s_0834[m],CHEBI:36457,9548584
s_0835[n],CHEBI:36457,9548584
s_0836[m],CHEBI:30904,5460285
s_0837[c],CHEBI:16240,784
s_0838[m],CHEBI:16240,784
s_0839[n],CHEBI:16240,784
s_0840[p],CHEBI:16240,784
s_0841[c],CHEBI:29919,5047209
s_0843[c],CHEBI:17368,135398638
s_0844[e],CHEBI:17368,135398638
s_0845[lp],CHEBI:53033,44224041
s_0846[c],CHEBI:58280,135573953
s_0847[c],CHEBI:29160,
s_0848[m],CHEBI:29160,
s_0849[c],CHEBI:58053,135398639
s_0850[c],CHEBI:18086,800
s_0851[e],CHEBI:18086,800
s_0852[m],CHEBI:18086,800
s_0853[c],CHEBI:30854,801
s_0854[m],CHEBI:30854,801
s_0855[c],CHEBI:17640,5460337
s_0856[c],CHEBI:17596,135398641
s_0857[e],CHEBI:17596,135398641
s_0859[g],CHEBI:62682,
s_0861[er],CHEBI:60439,70678601
s_0862[g],CHEBI:60439,70678601
s_0863[m],CHEBI:60439,70678601
s_0864[er],CHEBI:62715,53356755
s_0865[g],CHEBI:62715,53356755
s_0866[m],CHEBI:62715,53356755
s_0867[er],CHEBI:60443,70678599
s_0868[g],CHEBI:60443,70678599
s_0869[m],CHEBI:60443,70678599
s_0870[er],CHEBI:62719,53356737
s_0871[g],CHEBI:62719,53356737
s_0872[m],CHEBI:62719,53356737
s_0873[er],CHEBI:60441,70678600
s_0874[g],CHEBI:60441,70678600
s_0875[m],CHEBI:60441,70678600
s_0876[er],CHEBI:62717,53356757
s_0877[g],CHEBI:62717,53356757
s_0878[m],CHEBI:62717,53356757
s_0879[er],CHEBI:60445,70678591
s_0880[g],CHEBI:60445,70678591
s_0881[m],CHEBI:60445,70678591
s_0882[er],CHEBI:53005,53262290
s_0883[g],CHEBI:53005,53262290
s_0884[m],CHEBI:53005,53262290
s_0885[er],CHEBI:60446,70678595
s_0886[g],CHEBI:60446,70678595
s_0887[m],CHEBI:60446,70678595
s_0888[er],CHEBI:62684,53356720
s_0889[g],CHEBI:62684,53356720
s_0890[m],CHEBI:62684,53356720
s_0892[g],CHEBI:60245,
s_0894[er],CHEBI:60402,46931180
s_0895[g],CHEBI:60402,46931180
s_0896[m],CHEBI:60402,46931180
s_0897[er],CHEBI:60405,46931181
s_0898[g],CHEBI:60405,46931181
s_0899[m],CHEBI:60405,46931181
s_0900[er],CHEBI:60410,56951728
s_0901[g],CHEBI:60410,56951728
s_0902[m],CHEBI:60410,56951728
s_0903[er],CHEBI:60412,56951733
s_0904[g],CHEBI:60412,56951733
s_0905[m],CHEBI:60412,56951733
s_0906[er],CHEBI:60406,56951731
s_0907[g],CHEBI:60406,56951731
s_0908[m],CHEBI:60406,56951731
s_0909[er],CHEBI:60409,56951732
s_0910[g],CHEBI:60409,56951732
s_0911[m],CHEBI:60409,56951732
s_0912[er],CHEBI:60413,56951730
s_0913[g],CHEBI:60413,56951730
s_0914[m],CHEBI:60413,56951730
s_0915[er],CHEBI:53004,53630484
s_0916[g],CHEBI:53004,53630484
s_0917[m],CHEBI:53004,53630484
s_0918[er],CHEBI:60414,90657281
s_0919[g],CHEBI:60414,90657281
s_0920[m],CHEBI:60414,90657281
s_0921[er],CHEBI:60415,90658278
s_0922[g],CHEBI:60415,90658278
